"SA2_CODE16","seifa_decile","seifa_percentile","seifa_quintile","ra","ra_name"
301011001,5,49,3,0,"Major Cities of Australia"
301011002,10,92,5,0,"Major Cities of Australia"
301011003,8,71,4,0,"Major Cities of Australia"
301011004,5,50,3,0,"Major Cities of Australia"
301011005,5,47,3,0,"Major Cities of Australia"
301011006,9,82,5,0,"Major Cities of Australia"
301021007,6,58,3,0,"Major Cities of Australia"
301021008,9,85,5,0,"Major Cities of Australia"
301021009,7,70,4,0,"Major Cities of Australia"
301021011,9,90,5,0,"Major Cities of Australia"
301021012,9,85,5,0,"Major Cities of Australia"
301021013,6,57,3,0,"Major Cities of Australia"
301021527,1,5,1,2,"Outer Regional Australia"
301031014,NA,NA,NA,0,"Major Cities of Australia"
301031015,8,77,4,0,"Major Cities of Australia"
301031016,8,72,4,0,"Major Cities of Australia"
301031017,9,84,5,0,"Major Cities of Australia"
301031018,7,67,4,0,"Major Cities of Australia"
301031019,10,98,5,0,"Major Cities of Australia"
301031020,7,64,4,0,"Major Cities of Australia"
301031021,5,48,3,0,"Major Cities of Australia"
302011022,7,61,4,0,"Major Cities of Australia"
302011023,10,97,5,0,"Major Cities of Australia"
302011024,9,81,5,0,"Major Cities of Australia"
302011025,8,76,4,0,"Major Cities of Australia"
302011026,10,93,5,0,"Major Cities of Australia"
302021027,8,76,4,0,"Major Cities of Australia"
302021028,5,43,3,0,"Major Cities of Australia"
302021029,8,79,4,0,"Major Cities of Australia"
302021030,8,74,4,0,"Major Cities of Australia"
302021031,9,87,5,0,"Major Cities of Australia"
302021032,7,61,4,0,"Major Cities of Australia"
302021033,7,69,4,0,"Major Cities of Australia"
302021034,10,91,5,0,"Major Cities of Australia"
302031035,6,58,3,0,"Major Cities of Australia"
302031036,10,98,5,0,"Major Cities of Australia"
302031037,9,82,5,0,"Major Cities of Australia"
302031038,8,77,4,0,"Major Cities of Australia"
302031039,8,73,4,0,"Major Cities of Australia"
302031040,8,74,4,0,"Major Cities of Australia"
302041041,7,61,4,0,"Major Cities of Australia"
302041042,7,66,4,0,"Major Cities of Australia"
302041043,5,41,3,0,"Major Cities of Australia"
302041044,8,73,4,0,"Major Cities of Australia"
302041045,6,55,3,0,"Major Cities of Australia"
302041046,3,29,2,0,"Major Cities of Australia"
303011047,10,96,5,0,"Major Cities of Australia"
303011048,9,86,5,0,"Major Cities of Australia"
303011049,9,81,5,0,"Major Cities of Australia"
303011050,7,69,4,0,"Major Cities of Australia"
303011051,10,93,5,0,"Major Cities of Australia"
303021052,8,80,4,0,"Major Cities of Australia"
303021053,10,92,5,0,"Major Cities of Australia"
303021054,9,83,5,0,"Major Cities of Australia"
303021055,9,86,5,0,"Major Cities of Australia"
303021056,9,81,5,0,"Major Cities of Australia"
303021057,9,90,5,0,"Major Cities of Australia"
303021058,8,78,4,0,"Major Cities of Australia"
303021059,10,91,5,0,"Major Cities of Australia"
303031060,8,79,4,0,"Major Cities of Australia"
303031061,7,64,4,0,"Major Cities of Australia"
303031062,8,73,4,0,"Major Cities of Australia"
303031063,8,72,4,0,"Major Cities of Australia"
303031064,10,96,5,0,"Major Cities of Australia"
303031065,7,63,4,0,"Major Cities of Australia"
303031066,9,82,5,0,"Major Cities of Australia"
303041067,5,45,3,0,"Major Cities of Australia"
303041068,8,73,4,0,"Major Cities of Australia"
303041069,8,72,4,0,"Major Cities of Australia"
303041070,7,70,4,0,"Major Cities of Australia"
303041071,10,95,5,0,"Major Cities of Australia"
303051072,6,56,3,0,"Major Cities of Australia"
303051073,8,80,4,0,"Major Cities of Australia"
303051074,9,82,5,0,"Major Cities of Australia"
303051075,9,83,5,0,"Major Cities of Australia"
303051076,2,11,1,0,"Major Cities of Australia"
303061077,8,76,4,0,"Major Cities of Australia"
303061078,6,58,3,0,"Major Cities of Australia"
303061079,6,53,3,0,"Major Cities of Australia"
303061080,7,62,4,0,"Major Cities of Australia"
304011081,10,92,5,0,"Major Cities of Australia"
304011082,9,84,5,0,"Major Cities of Australia"
304011083,8,77,4,0,"Major Cities of Australia"
304011084,10,94,5,0,"Major Cities of Australia"
304011085,10,96,5,0,"Major Cities of Australia"
304021086,10,94,5,0,"Major Cities of Australia"
304021087,10,100,5,0,"Major Cities of Australia"
304021088,10,99,5,0,"Major Cities of Australia"
304021089,10,100,5,0,"Major Cities of Australia"
304021090,10,96,5,0,"Major Cities of Australia"
304021091,10,100,5,0,"Major Cities of Australia"
304031092,10,99,5,0,"Major Cities of Australia"
304031093,9,88,5,0,"Major Cities of Australia"
304031094,10,93,5,0,"Major Cities of Australia"
304031095,10,93,5,0,"Major Cities of Australia"
304031096,10,92,5,0,"Major Cities of Australia"
304031097,10,93,5,0,"Major Cities of Australia"
304041098,8,79,4,0,"Major Cities of Australia"
304041099,NA,NA,NA,1,"Inner Regional Australia"
304041100,5,50,3,0,"Major Cities of Australia"
304041101,9,85,5,0,"Major Cities of Australia"
304041102,NA,NA,NA,0,"Major Cities of Australia"
304041103,10,95,5,0,"Major Cities of Australia"
304041104,10,91,5,0,"Major Cities of Australia"
305011105,9,89,5,0,"Major Cities of Australia"
305011106,9,83,5,0,"Major Cities of Australia"
305011107,9,81,5,0,"Major Cities of Australia"
305011108,9,90,5,0,"Major Cities of Australia"
305011109,10,93,5,0,"Major Cities of Australia"
305011110,9,89,5,0,"Major Cities of Australia"
305011111,7,68,4,0,"Major Cities of Australia"
305011112,9,89,5,0,"Major Cities of Australia"
305021113,10,96,5,0,"Major Cities of Australia"
305021114,10,99,5,0,"Major Cities of Australia"
305021115,9,89,5,0,"Major Cities of Australia"
305021116,10,100,5,0,"Major Cities of Australia"
305021117,10,91,5,0,"Major Cities of Australia"
305021118,10,98,5,0,"Major Cities of Australia"
305031119,10,92,5,0,"Major Cities of Australia"
305031120,10,94,5,0,"Major Cities of Australia"
305031121,10,94,5,0,"Major Cities of Australia"
305031122,9,90,5,0,"Major Cities of Australia"
305031123,10,99,5,0,"Major Cities of Australia"
305031124,10,94,5,0,"Major Cities of Australia"
305031125,10,97,5,0,"Major Cities of Australia"
305031126,9,85,5,0,"Major Cities of Australia"
305031127,9,89,5,0,"Major Cities of Australia"
305031128,10,98,5,0,"Major Cities of Australia"
305031129,10,97,5,0,"Major Cities of Australia"
305031130,10,91,5,0,"Major Cities of Australia"
305031131,9,88,5,0,"Major Cities of Australia"
305041132,10,98,5,0,"Major Cities of Australia"
305041133,10,97,5,0,"Major Cities of Australia"
305041134,10,100,5,0,"Major Cities of Australia"
305041135,10,99,5,0,"Major Cities of Australia"
